代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.0,0.0,0.0,7531181742,0.0,0.0,0.0,0
1101B,台泥乙特,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,352724658,0.0,0.0,0.0,0
1101,台泥,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.0,0.0,0.0,7531181742,0.0,0.0,0.0,0
1101B,台泥乙特,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,352724658,0.0,0.0,0.0,0
1101,台泥,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.0,0.0,0.0,7531181742,0.0,0.0,0.0,0
1101B,台泥乙特,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,352724658,0.0,0.0,0.0,0
1101,台泥,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.0,0.0,0.0,7531181742,0.0,0.0,0.0,0
1101B,台泥乙特,112,Y1,113/05/21,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,352724658,0.0,0.0,0.0,0
1102,亞泥,112,Q4,不適用,112/10/01~112/12/31,董事會決議,2.1,0.0,0.0,7447782050,0.0,0.0,0.0,0
1102,亞泥,112,Q1,不適用,112/01/01~112/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q2,不適用,112/04/01~112/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q3,不適用,112/07/01~112/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q4,不適用,112/10/01~112/12/31,董事會決議,2.1,0.0,0.0,7447782050,0.0,0.0,0.0,0
1102,亞泥,112,Q1,不適用,112/01/01~112/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q2,不適用,112/04/01~112/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q3,不適用,112/07/01~112/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q3,不適用,112/07/01~112/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q2,不適用,112/04/01~112/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,112,Q1,不適用,112/01/01~112/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
