代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,114,M07,114年07月21日,114年07月27日,114年08月08日,0.36,114
0050,元大台灣50,114,M01,114年01月17日,114年01月25日,114年02月20日,2.7,114
0051,元大中型100,114,M11,114年11月21日,114年11月29日,114年12月12日,,114
0052,富邦科技,114,M04,114年04月23日,114年04月29日,114年05月19日,3.23,114
0053,元大電子,114,M11,114年11月21日,114年11月29日,114年12月12日,,114
0055,元大MSCI金融,114,M11,114年11月21日,114年11月29日,114年12月12日,,114
0056,元大高股息,114,M01,114年01月17日,114年01月25日,114年02月20日,1.07,114
0056,元大高股息,114,M07,114年07月21日,114年07月27日,114年08月08日,0.866,114
0056,元大高股息,114,M10,114年10月23日,114年11月01日,114年11月14日,0.866,114
0056,元大高股息,114,M04,114年04月23日,114年04月29日,114年05月14日,1.07,114
006203,元大MSCI台灣,114,M07,114年07月21日,114年07月27日,114年08月08日,0.55,114
006203,元大MSCI台灣,114,M01,114年01月17日,114年01月25日,114年02月20日,1.9,114
006204,永豐臺灣加權,114,M10,114年10月23日,114年11月01日,114年11月20日,3.259,114
006208,富邦台50,114,M07,114年07月16日,114年07月22日,114年08月08日,0.989,114
006208,富邦台50,114,M11,114年11月18日,114年11月24日,114年12月11日,,114
00690,兆豐臺灣藍籌30,114,M08,114年08月18日,114年08月24日,114年09月04日,0.75,114
00690,兆豐藍籌30,114,M11,114年11月18日,114年11月24日,114年12月05日,0.89,114
00690,兆豐臺灣藍籌30,114,M05,114年05月19日,114年05月25日,114年06月06日,0.31,114
00690,兆豐臺灣藍籌30,114,M02,114年02月18日,114年02月24日,114年03月10日,0.7,114
00692,富邦公司治理,114,M07,114年07月16日,114年07月22日,114年08月08日,0.628,114
