出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/03/15","114","4","2880","華南金","29254628.00","40237726.00","69492354.00","978648.00","654036.00","35233683.00","32625987.00","6201726.00","26424261.00","--","26424261.00","6807024.00","33231285.00","26424090.00","--","171.00","33231048.00","--","237.00","1.90"
"115/03/15","114","4","2883","凱基金","76716864.00","-12412658.00","64304206.00","620485.00","-4915443.00","37787203.00","30811961.00","755466.00","30056495.00","--","30056495.00","4891180.00","34947675.00","30057614.00","--","-1119.00","34949593.00","--","-1918.00","1.74"
"115/03/15","114","4","2885","元大金","39551362.00","88872794.00","128424156.00","2055024.00","14406747.00","64843118.00","47119267.00","7756549.00","39362718.00","--","39362718.00","9646624.00","49009342.00","36520594.00","--","2842124.00","46096940.00","--","2912402.00","2.74"
"115/03/15","114","4","2887","台新新光金","92014221.00","58558483.00","150572704.00","2643389.00","50146163.00","56526445.00","41256707.00","3895974.00","37360733.00","--","37360733.00","24432615.00","61793348.00","37326812.00","--","33921.00","61756527.00","--","36821.00","1.91"
"115/03/15","114","4","2889","國票金","1964348.00","6620721.00","8585069.00","457550.00","--","4545310.00","3582209.00","712819.00","2869390.00","--","2869390.00","3274404.00","6143794.00","2295557.00","--","573833.00","5226023.00","--","917771.00","0.63"
"115/03/15","114","4","2890","永豐金","38282342.00","36107372.00","74389714.00","3699047.00","--","38657084.00","32033583.00","5272596.00","26760987.00","3605.00","26764592.00","521602.00","27286194.00","26569302.00","--","195290.00","27205219.00","--","80975.00","1.97"
"115/03/15","114","4","2891","中信金","148094257.00","96800414.00","244894671.00","13318169.00","36437407.00","102918787.00","92220308.00","9891465.00","82328843.00","--","82328843.00","1284241.00","83613084.00","80619233.00","--","1709610.00","79949308.00","--","3663776.00","4.08"
"115/03/15","114","4","2892","第一金","34680709.00","42913039.00","77593748.00","6382002.00","4055892.00","33706716.00","33449138.00","6516290.00","26932848.00","--","26932848.00","11136403.00","38069251.00","26932848.00","--","--","38069251.00","--","--","1.87"
"115/03/15","114","4","5880","合庫金","34530572.00","39857053.00","74387625.00","4637620.00","10738384.00","32709379.00","26302242.00","4854387.00","21447855.00","--","21447855.00","14878243.00","36326098.00","21294771.00","--","153084.00","35860116.00","--","465982.00","1.36"
