出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/08/21","115","2","1240","茂生農經","1440672.00","1267704.00","21939.00","24180.00","219087.00","--","--","219087.00","131685.00","--","87402.00","54301.00","141703.00","15197.00","126506.00","--","--","126506.00","4025.00","--","130531.00","126188.00","--","318.00","130213.00","--","318.00","2.85"
"115/08/21","115","2","1259","安心","3091195.00","2373772.00","--","--","717423.00","--","--","717423.00","711174.00","--","6249.00","61251.00","67500.00","1782.00","65718.00","--","--","65718.00","-232941.00","--","-167223.00","65317.00","--","401.00","-167624.00","--","401.00","2.02"
"115/08/21","115","2","1264","德麥","3512615.00","2352398.00","--","--","1160217.00","--","--","1160217.00","573111.00","--","587106.00","17243.00","604349.00","138328.00","466021.00","--","--","466021.00","58966.00","--","524987.00","407978.00","--","58043.00","436421.00","--","88566.00","11.01"
"115/08/21","115","2","1268","漢來美食","3675641.00","1916952.00","--","--","1758689.00","--","--","1758689.00","1301925.00","--","456764.00","19126.00","475890.00","86886.00","389004.00","--","--","389004.00","46404.00","--","435408.00","389004.00","--","--","435408.00","--","--","9.21"
"115/08/21","115","2","1294","漢田生技","455326.00","294582.00","--","--","160744.00","--","--","160744.00","61467.00","--","99277.00","1369.00","100646.00","19811.00","80835.00","--","--","80835.00","--","--","80835.00","80824.00","--","11.00","80824.00","--","11.00","2.22"
"115/08/21","115","2","1295","生合","510716.00","256589.00","--","--","254127.00","--","--","254127.00","177696.00","--","76431.00","-1271.00","75160.00","7127.00","68033.00","--","--","68033.00","15488.00","--","83521.00","68033.00","--","--","83521.00","--","--","1.97"
"115/08/21","115","2","1336","台翰","1247607.00","1064666.00","--","--","182941.00","--","--","182941.00","150977.00","--","31964.00","14977.00","46941.00","14829.00","32112.00","--","--","32112.00","27829.00","--","59941.00","32112.00","--","--","59941.00","--","--","0.41"
"115/08/21","115","2","1565","精華","1780360.00","1444589.00","--","--","335771.00","--","--","335771.00","164898.00","--","170873.00","22275.00","193148.00","41692.00","151456.00","--","--","151456.00","555.00","--","152011.00","151456.00","--","--","152011.00","--","--","3.00"
"115/08/21","115","2","1569","濱川","1624996.00","1514234.00","--","--","110762.00","--","--","110762.00","284018.00","--","-173256.00","16651.00","-156605.00","63458.00","-220063.00","--","--","-220063.00","72913.00","--","-147150.00","-236976.00","--","16913.00","-164970.00","--","17820.00","-1.67"
"115/08/21","115","2","1570","力肯","288259.00","224517.00","--","--","63742.00","--","--","63742.00","36222.00","--","27520.00","7221.00","34741.00","6892.00","27849.00","--","--","27849.00","45731.00","--","73580.00","27849.00","--","--","73580.00","--","--","0.54"
"115/08/21","115","2","1580","新麥","2264808.00","1320343.00","--","--","944465.00","--","--","944465.00","574806.00","--","369659.00","-4955.00","364704.00","121092.00","243612.00","--","--","243612.00","91477.00","--","335089.00","228074.00","--","15538.00","314176.00","--","20913.00","4.62"
"115/08/21","115","2","1584","精剛","1084456.00","919472.00","--","--","164984.00","--","--","164984.00","90903.00","--","74081.00","-23219.00","50862.00","6915.00","43947.00","--","--","43947.00","-40279.00","--","3668.00","43393.00","--","554.00","3114.00","--","554.00","0.19"
"115/08/21","115","2","1586","和勤","1169445.00","978093.00","--","--","191352.00","--","--","191352.00","155676.00","--","35676.00","3049.00","38725.00","5836.00","32889.00","--","--","32889.00","58200.00","--","91089.00","32889.00","--","--","91089.00","--","--","0.32"
"115/08/21","115","2","1593","祺驊","646718.00","451598.00","--","--","195120.00","--","--","195120.00","144013.00","--","51107.00","121543.00","172650.00","50744.00","121906.00","--","--","121906.00","11153.00","--","133059.00","103792.00","--","18114.00","114945.00","--","18114.00","2.61"
"115/08/21","115","2","1595","川寶","411957.00","330158.00","--","--","81799.00","--","--","81799.00","163262.00","--","-81463.00","29034.00","-52429.00","845.00","-53274.00","--","--","-53274.00","3810.00","--","-49464.00","-53274.00","--","0.00","-49464.00","--","0.00","-0.98"
"115/08/21","115","2","1599","宏佳騰","1083048.00","849199.00","--","--","233849.00","--","--","233849.00","260530.00","--","-26681.00","21431.00","-5250.00","6381.00","-11631.00","--","--","-11631.00","-1614.00","--","-13245.00","6178.00","--","-17809.00","4564.00","--","-17809.00","0.09"
"115/08/21","115","2","1742","台蠟","41324.00","33697.00","--","--","7627.00","--","--","7627.00","34780.00","--","-27153.00","8743.00","-18410.00","0.00","-18410.00","--","--","-18410.00","-647.00","--","-19057.00","-18410.00","--","--","-19057.00","--","--","-0.20"
"115/08/21","115","2","1777","生泰","611976.00","359542.00","--","--","252434.00","--","--","252434.00","69413.00","--","183021.00","22387.00","205408.00","43185.00","162223.00","--","--","162223.00","2809.00","--","165032.00","--","--","--","--","--","--","3.64"
"115/08/21","115","2","1780","立弘","498399.00","298303.00","--","--","200096.00","--","--","200096.00","114392.00","--","85704.00","-186.00","85518.00","18142.00","67376.00","--","--","67376.00","13545.00","--","80921.00","67376.00","--","--","80921.00","--","--","0.69"
"115/08/21","115","2","1781","合世","193290.00","165568.00","--","--","27722.00","--","--","27722.00","62491.00","--","-34769.00","12157.00","-22612.00","1448.00","-24060.00","--","--","-24060.00","6721.00","--","-17339.00","-24060.00","--","--","-17339.00","--","--","-0.51"
"115/08/21","115","2","1784","訊聯","653052.00","288662.00","--","--","364390.00","--","--","364390.00","362759.00","--","1631.00","16428.00","18059.00","6768.00","11291.00","--","--","11291.00","826.00","--","12117.00","32173.00","--","-20882.00","32474.00","--","-20357.00","0.64"
