出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/12/08","114","2","1240","茂生農經","1094492.00","998228.00","2092720.00","577501.00","70883.00","648384.00","442324.00","--","145207.00","705815.00","106737.00","--","1400083.00","--","--","44253.00","1444336.00","--","0.00","0.00","33.87"
"114/12/08","114","2","1259","安心","1261152.00","5060985.00","6322137.00","2087891.00","1864448.00","3952339.00","323895.00","--","809816.00","950237.00","273214.00","--","2357162.00","--","--","12636.00","2369798.00","0.00","0.00","0.00","72.78"
"114/12/08","114","2","1264","德麥","2959380.00","2374172.00","5333552.00","1369519.00","74248.00","1443767.00","370524.00","--","673619.00","2241120.00","-99570.00","0.00","3185693.00","--","--","704092.00","3889785.00","--","0.00","0.00","85.98"
"114/12/08","114","2","1268","漢來美食","2412341.00","4539036.00","6951377.00","2210364.00","2581703.00","4792067.00","422237.00","--","1123334.00","601435.00","12304.00","--","2159310.00","--","--","--","2159310.00","--","0.00","0.00","51.14"
"114/12/08","114","2","1294","漢田生技","629741.00","575095.00","1204836.00","313839.00","87833.00","401672.00","331457.00","--","296291.00","200729.00","--","-28361.00","800116.00","--","--","3048.00","803164.00","--","590000.00","300000.00","28.66"
"114/12/08","114","2","1295","生合","880676.00","1871276.00","2751952.00","535898.00","991739.00","1527637.00","344748.00","--","402165.00","505674.00","-28272.00","--","1224315.00","--","--","--","1224315.00","0.00","0.00","0.00","35.51"
"114/12/08","114","2","1336","台翰","1170173.00","1840084.00","3010257.00","973876.00","298920.00","1272796.00","776144.00","--","676871.00","533549.00","-249103.00","--","1737461.00","--","--","--","1737461.00","0.00","0.00","0.00","22.39"
"114/12/08","114","2","1565","精華","4210106.00","3777416.00","7987522.00","1456377.00","250067.00","1706444.00","504165.00","--","526000.00","5249148.00","1765.00","--","6281078.00","--","--","--","6281078.00","0.00","0.00","0.00","124.58"
"114/12/08","114","2","1569","濱川","3107593.00","2824126.00","5931719.00","2749322.00","846937.00","3596259.00","1214474.00","--","1033431.00","240269.00","-295911.00","--","2192263.00","--","--","143197.00","2335460.00","--","0.00","0.00","18.05"
"114/12/08","114","2","1570","力肯","866182.00","303113.00","1169295.00","188427.00","9655.00","198082.00","515008.00","--","--","416834.00","39371.00","--","971213.00","--","--","0.00","971213.00","0.00","0.00","0.00","18.86"
