出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","112","3","2801","彰銀","-62058445.00","-656410.00","59811538.00","1308317.00","-1595000.00","104820099.00","103225099.00"
"114/10/29","112","3","2812","台中銀","5495183.00","-21505058.00","2902399.00","4452.00","-13103024.00","55897012.00","42793988.00"
"114/10/29","112","3","2820","華票","-8935328.00","-9515.00","8819102.00","--","-125741.00","557558.00","431817.00"
"114/10/29","112","3","2834","臺企銀","31982113.00","-44268567.00","3653815.00","29066.00","-8603573.00","49260262.00","40656689.00"
"114/10/29","112","3","2836","高雄銀","-297926.00","-137568.00","10536.00","-395.00","-425353.00","12596904.00","12171551.00"
"114/10/29","112","3","2838","聯邦銀","2451687.00","-2751407.00","442811.00","753120.00","896211.00","56340642.00","57236853.00"
"114/10/29","112","3","2845","遠東銀","23291469.00","-4372887.00","-9342107.00","835927.00","10412402.00","28933031.00","39345433.00"
"114/10/29","112","3","2849","安泰銀","2356606.00","-2288574.00","-2521590.00","75127.00","-2378431.00","4941326.00","2562895.00"
"114/10/29","112","3","2897","王道銀行","7252909.00","-301031.00","-3602642.00","427384.00","3776620.00","15225156.00","19001776.00"
"114/10/29","112","3","5876","上海商銀","68750432.00","-2048699.00","848047.00","11707572.00","79257352.00","251800153.00","331057505.00"
