出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/12/08","106","2","2801","彰銀","11083350.00","4045596.00","411348.00","7616059.00","7101539.00","-1145534.00","5956005.00","--","--","5956005.00","-177265.00","5778740.00","--","--","--","--","--","--","0.63"
"114/12/08","106","2","2812","台中銀","4057554.00","1277526.00","422652.00","2895953.00","2016475.00","-347142.00","1669333.00","--","--","1669333.00","46869.00","1716202.00","1669333.00","--","--","1716202.00","--","--","0.51"
"114/12/08","106","2","2820","華票","590985.00","427113.00","-2031.00","229586.00","790543.00","-132355.00","658188.00","--","--","658188.00","261887.00","920075.00","--","--","--","--","--","--","0.49"
"114/12/08","106","2","2834","臺企銀","7555963.00","2719877.00","856714.00","5935787.00","3483339.00","-347553.00","3135786.00","--","--","3135786.00","533373.00","3669159.00","3135786.00","0.00","0.00","3669159.00","0.00","0.00","0.51"
"114/12/08","106","2","2836","高雄銀","1253087.00","400239.00","102749.00","1136742.00","413835.00","-50516.00","363319.00","--","--","363319.00","-11084.00","352235.00","363319.00","--","0.00","352235.00","--","0.00","0.39"
"114/12/08","106","2","2838","聯邦銀","3262329.00","2665030.00","99644.00","4236377.00","1591338.00","-291486.00","1299852.00","--","--","1299852.00","351617.00","1651469.00","1284275.00","--","15577.00","1635892.00","--","15577.00","0.49"
"114/12/08","106","2","2845","遠東銀","2660607.00","2491298.00","51822.00","3236270.00","1863813.00","-218069.00","1645744.00","--","--","1645744.00","194561.00","1840305.00","1645744.00","--","--","1840305.00","--","--","0.53"
"114/12/08","106","2","2849","安泰銀","2214157.00","1165689.00","564178.00","1534661.00","1281007.00","-276513.00","1004494.00","0.00","--","1004494.00","-11668.00","992826.00","--","--","--","--","--","--","0.60"
"114/12/08","106","2","2897","王道銀行","2215678.00","1655711.00","342743.00","1930513.00","1598133.00","-359784.00","1238349.00","-8375.00","--","1229974.00","207765.00","1437739.00","746474.00","--","483500.00","789044.00","--","648695.00","0.31"
"114/12/08","106","2","5876","上海商銀","11712648.00","5669633.00","454386.00","6303844.00","10624051.00","-2281445.00","8342606.00","--","--","8342606.00","-2229771.00","6112835.00","6223704.00","--","2118902.00","5646888.00","--","465947.00","1.53"
