出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","112","2","1240","茂生農經","1423618.00","1290594.00","-3122.00","21936.00","151838.00","--","--","151838.00","99010.00","--","52828.00","4985.00","57813.00","14872.00","42941.00","--","--","42941.00","-8272.00","--","34669.00","53806.00","--","-10865.00","45534.00","--","-10865.00","1.39"
"114/10/28","112","2","1259","安心","2932148.00","2236283.00","--","--","695865.00","--","--","695865.00","672744.00","--","23121.00","67903.00","91024.00","4938.00","86086.00","--","--","86086.00","420279.00","--","506365.00","88830.00","--","-2744.00","509308.00","--","-2943.00","2.74"
"114/10/28","112","2","1264","德麥","2738965.00","1813402.00","--","--","925563.00","--","--","925563.00","435406.00","--","490157.00","4367.00","494524.00","120325.00","374199.00","--","--","374199.00","-31171.00","--","343028.00","334065.00","--","40134.00","319830.00","--","23198.00","9.02"
"114/10/28","112","2","1268","漢來美食","2409493.00","1314406.00","--","--","1095087.00","--","--","1095087.00","850056.00","--","245031.00","1611.00","246642.00","44101.00","202541.00","--","--","202541.00","73575.00","--","276116.00","202541.00","--","--","276116.00","--","--","4.80"
"114/10/28","112","2","1294","漢田生技","247309.00","140453.00","--","--","106856.00","--","--","106856.00","43444.00","--","63412.00","-40.00","63372.00","12751.00","50621.00","--","--","50621.00","--","--","50621.00","51004.00","--","-383.00","51004.00","--","-383.00","2.65"
"114/10/28","112","2","1295","生合","389112.00","188365.00","--","--","200747.00","--","--","200747.00","121610.00","--","79137.00","-1846.00","77291.00","15601.00","61690.00","--","--","61690.00","-10215.00","--","51475.00","61690.00","--","--","51475.00","--","--","2.01"
"114/10/28","112","2","1336","台翰","1144830.00","955714.00","--","--","189116.00","--","--","189116.00","109142.00","--","79974.00","1569.00","81543.00","39740.00","41803.00","--","--","41803.00","18732.00","--","60535.00","41803.00","--","--","60535.00","--","--","0.54"
"114/10/28","112","2","1565","精華","2205668.00","1688637.00","--","--","517031.00","--","1.00","517032.00","182223.00","--","334809.00","54475.00","389284.00","88324.00","300960.00","--","--","300960.00","1049.00","--","302009.00","300960.00","--","--","302009.00","--","--","5.97"
"114/10/28","112","2","1569","濱川","1802028.00","1668835.00","--","--","133193.00","--","--","133193.00","278899.00","--","-145706.00","30449.00","-115257.00","-16065.00","-99192.00","--","--","-99192.00","-61739.00","--","-160931.00","-108697.00","--","9505.00","-164671.00","--","3740.00","-0.90"
"114/10/28","112","2","1570","力肯","235855.00","182790.00","--","--","53065.00","--","--","53065.00","37884.00","--","15181.00","8956.00","24137.00","6975.00","17162.00","--","--","17162.00","16530.00","--","33692.00","17162.00","--","0.00","33692.00","--","0.00","0.33"
"114/10/28","112","2","1580","新麥","2044777.00","1222294.00","--","--","822483.00","--","--","822483.00","467543.00","--","354940.00","34416.00","389356.00","107911.00","281445.00","--","--","281445.00","-45050.00","--","236395.00","268495.00","--","12950.00","225564.00","--","10831.00","5.35"
