出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","2","2801","彰銀","-81735131.00","-1009257.00","-9544371.00","1724030.00","-90564729.00","194506675.00","103941946.00"
"114/10/29","111","2","2812","台中銀","-11025201.00","1830564.00","-3003118.00","41126.00","-12156629.00","47367088.00","35210459.00"
"114/10/29","111","2","2820","華票","-1823067.00","-6665.00","2064720.00","--","234988.00","554598.00","789586.00"
"114/10/29","111","2","2834","臺企銀","31369853.00","2337055.00","-48509229.00","-805.00","-14803126.00","39444032.00","24640906.00"
"114/10/29","111","2","2836","高雄銀","508093.00","-199073.00","-2134768.00","64.00","-1825684.00","13399062.00","11573378.00"
"114/10/29","111","2","2838","聯邦銀","-25537233.00","-2492623.00","-8450657.00","905923.00","-35574590.00","71489262.00","35914672.00"
"114/10/29","111","2","2845","遠東銀","15316728.00","-2550031.00","-344763.00","1548846.00","13970780.00","42158013.00","56128793.00"
"114/10/29","111","2","2849","安泰銀","-2558706.00","1020526.00","20817.00","143563.00","-1373800.00","3705090.00","2331290.00"
"114/10/29","111","2","2897","王道銀行","5522347.00","-37753.00","-4493769.00","738572.00","1729397.00","15198196.00","16927593.00"
"114/10/29","111","2","5876","上海商銀","62404778.00","-2020977.00","-20745017.00","6425777.00","46064561.00","182050068.00","228114629.00"
