公司代號,公司名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101.0,台泥,112,1,220077058.00,,,164832022.00,,74340055.00,147227279.00,20003976.00,30.02
1101.0,台泥,112,4,230933254.00,,,153113300.00,,72581236.00,142956245.00,22967787.00,29.87
1101.0,台泥,112,2,214284220.00,,,154071563.00,,91552014.00,130070184.00,20435231.00,29.21
1101.0,台泥,112,3,222398369.00,,,163318027.00,,94338554.00,133852417.00,22328122.00,30.32
1102.0,亞泥,112,4,169169896.00,,,122340909.00,,82887767.00,61975517.00,22693671.00,47.70
1102.0,亞泥,112,1,156458664.00,,,120394175.00,,84154018.00,69631015.00,23599221.00,44.12
1102.0,亞泥,112,2,161446326.00,,,123631973.00,,87933840.00,63032840.00,22676643.00,45.52
1102.0,亞泥,112,3,168143213.00,,,121392947.00,,84451777.00,59799527.00,23563237.00,47.41
1103.0,嘉泥,112,4,21681451.00,,,10549056.00,,3301743.00,10744033.00,737107.00,32.91
1103.0,嘉泥,112,1,22250780.00,,,10596359.00,,3489134.00,10854020.00,755378.00,34.45
1103.0,嘉泥,112,3,21272466.00,,,10641592.00,,3638594.00,10448346.00,720656.00,32.29
1103.0,嘉泥,112,2,22643195.00,,,10783919.00,,4133443.00,10204778.00,774004.00,35.05
1104.0,環泥,112,3,21986008.00,,,6529436.00,,3891311.00,1658900.00,791973.00,32.66
1104.0,環泥,112,1,21459548.00,,,5755087.00,,4538157.00,1521161.00,615992.00,32.83
1104.0,環泥,112,2,21724925.00,,,6412220.00,,5304982.00,1508560.00,581674.00,33.24
1104.0,環泥,112,4,21869182.00,,,6836434.00,,4078849.00,1432577.00,808952.00,32.48
1108.0,幸福,112,3,5004240.00,,,6005588.00,,3119415.00,1680821.00,70.00,12.36
1108.0,幸福,112,1,4710141.00,,,5945569.00,,3558934.00,1428162.00,70.00,11.64
1108.0,幸福,112,2,4812565.00,,,5939225.00,,3138176.00,1774944.00,70.00,11.89
1108.0,幸福,112,4,5070758.00,,,5955830.00,,3297728.00,1601320.00,67.00,12.53
1109.0,信大,112,3,7963697.00,,,6398519.00,,1247205.00,185350.00,1883397.00,23.34
1109.0,信大,112,1,7925567.00,,,6628734.00,,1538591.00,185257.00,1931470.00,23.23
1109.0,信大,112,2,7751844.00,,,6597137.00,,1780363.00,155300.00,1806210.00,22.72
1109.0,信大,112,4,8117677.00,,,6686926.00,,1391300.00,181269.00,1872924.00,23.79
1110.0,東泥,112,3,8905442.00,,,2300255.00,,1446110.00,1032355.00,78749.00,15.63
1110.0,東泥,112,2,8823729.00,,,3340035.00,,2554796.00,1010736.00,78698.00,15.48
1110.0,東泥,112,1,8708754.00,,,2519909.00,,2403214.00,973992.00,80181.00,15.28
1110.0,東泥,112,4,8923610.00,,,2485708.00,,1740711.00,1055613.00,101628.00,15.66
1201.0,味全,112,3,7392785.00,,,7445031.00,,7739745.00,3793488.00,7885.00,14.61
1201.0,味全,112,2,7201872.00,,,7876800.00,,8058718.00,3872443.00,8270.00,14.23
1201.0,味全,112,1,7247192.00,,,7198372.00,,7243184.00,4254279.00,8490.00,14.32
1201.0,味全,112,4,7283944.00,,,6785270.00,,7149460.00,3586255.00,8056.00,14.39
1203.0,味王,112,3,5621536.00,,,4612695.00,,2129822.00,1475808.00,906560.00,23.65
1203.0,味王,112,1,5631423.00,,,4792900.00,,1944894.00,1451492.00,1090926.00,23.69
1203.0,味王,112,2,5474899.00,,,4395351.00,,2068209.00,1439362.00,828389.00,23.03
1203.0,味王,112,4,5770076.00,,,4505524.00,,1859137.00,1491106.00,992108.00,24.27
1210.0,大成,112,2,21437820.00,,,28398724.00,,28813097.00,3356180.00,8126658.00,25.35
1210.0,大成,112,3,22889773.00,,,30066408.00,,29763954.00,3526412.00,8557257.00,27.07
1210.0,大成,112,1,21799301.00,,,27520847.00,,27566725.00,3150826.00,8210957.00,25.78
1210.0,大成,112,4,23690581.00,,,28952571.00,,28608887.00,4401984.00,8126164.00,28.01
1213.0,大飲,112,3,269005.00,,,117804.00,,330794.00,318323.00,--,4.75
1213.0,大飲,112,1,346660.00,,,115284.00,,222261.00,463486.00,--,6.12
1213.0,大飲,112,4,227206.00,,,32646.00,,554815.00,37304.00,--,4.01
1213.0,大飲,112,2,306081.00,,,64683.00,,218057.00,450338.00,--,5.41
1215.0,卜蜂,112,2,8468200.00,,,7358256.00,,8271703.00,7841841.00,457724.00,28.73
1215.0,卜蜂,112,4,9753324.00,,,8048171.00,,8103762.00,9043618.00,469093.00,33.09
1215.0,卜蜂,112,1,9079285.00,,,7781563.00,,7818835.00,7958733.00,481360.00,30.80
1215.0,卜蜂,112,3,9226539.00,,,7829069.00,,8599256.00,7518552.00,470845.00,31.30
1216.0,統一,112,2,118069019.00,,,213136900.00,,242666795.00,219010039.00,65943285.00,20.78
1216.0,統一,112,3,126770929.00,,,225355484.00,,245451587.00,222830594.00,69880873.00,22.31
1216.0,統一,112,4,124887732.00,,,222853635.00,,229538964.00,241126026.00,70326596.00,21.98
1216.0,統一,112,1,130301139.00,,,202714615.00,,181296695.00,167295403.00,68650123.00,22.93
1217.0,愛之味,112,2,6864798.00,,,2843569.00,,3072169.00,3535787.00,762814.00,13.88
1217.0,愛之味,112,3,6777883.00,,,3104834.00,,3277895.00,3610398.00,763488.00,13.71
1217.0,愛之味,112,4,6799310.00,,,2597921.00,,2644278.00,3812941.00,765181.00,13.75
1217.0,愛之味,112,1,6806931.00,,,2606232.00,,3214631.00,3260651.00,770008.00,13.76
1218.0,泰山,112,1,12597703.00,,,10212227.00,,2179990.00,230227.00,5243.00,25.90
1218.0,泰山,112,3,11964252.00,,,5823191.00,,1820532.00,232287.00,5357.00,24.60
1218.0,泰山,112,2,11874873.00,,,6303402.00,,2535865.00,232559.00,5266.00,24.42
1218.0,泰山,112,4,12078659.00,,,5498353.00,,1362023.00,233073.00,5409.00,24.84
1219.0,福壽,112,1,4447474.00,,,5115895.00,,3202689.00,1785618.00,50599.00,13.83
1219.0,福壽,112,3,4456953.00,,,5495931.00,,3319798.00,1989394.00,71723.00,13.45
1219.0,福壽,112,4,4534794.00,,,5764433.00,,3736068.00,1848236.00,66380.00,13.69
1219.0,福壽,112,2,4359268.00,,,5486485.00,,3763678.00,1687068.00,65020.00,13.55
1220.0,台榮,112,1,2212602.00,,,1636513.00,,356742.00,198813.00,220951.00,12.54
1220.0,台榮,112,3,2252764.00,,,1749442.00,,418556.00,196596.00,211447.00,12.77
1220.0,台榮,112,2,2212261.00,,,1726975.00,,450521.00,194031.00,204766.00,12.54
1220.0,台榮,112,4,2318712.00,,,1866691.00,,440658.00,221232.00,215426.00,13.14
1225.0,福懋油,112,1,3539409.00,,,4574336.00,,2895812.00,1701789.00,376950.00,16.18
1225.0,福懋油,112,2,3247478.00,,,4756806.00,,3357512.00,1638909.00,385197.00,14.85
1225.0,福懋油,112,4,3512131.00,,,4881487.00,,3140725.00,1646844.00,420822.00,15.29
1225.0,福懋油,112,3,3383209.00,,,4186252.00,,2831154.00,1396276.00,403000.00,14.73
1227.0,佳格,112,1,17873971.00,,,17081983.00,,7021722.00,430924.00,327710.00,19.68
1227.0,佳格,112,4,17378957.00,,,17191949.00,,7629311.00,435153.00,282190.00,19.13
1227.0,佳格,112,2,16721304.00,,,19137599.00,,10476903.00,381143.00,288590.00,18.41
1227.0,佳格,112,3,17390410.00,,,18361391.00,,9265823.00,386518.00,268589.00,19.14
1229.0,聯華,112,1,37162246.00,,,13488180.00,,14501644.00,3612904.00,16653462.00,25.21
1229.0,聯華,112,2,39267365.00,,,15986824.00,,15538875.00,3402466.00,16475713.00,26.64
1229.0,聯華,112,3,42955376.00,,,14204494.00,,13096218.00,3935522.00,17834432.00,27.23
1229.0,聯華,112,4,45605309.00,,,16612098.00,,14823840.00,4391817.00,19762354.00,28.91
1231.0,聯華食,112,3,5290073.00,,,4975113.00,,3278317.00,3444967.00,18450.00,21.45
1231.0,聯華食,112,1,5386637.00,,,4786465.00,,2687644.00,2904636.00,18358.00,24.02
1231.0,聯華食,112,4,5760828.00,,,5399442.00,,3648302.00,3581006.00,18076.00,23.36
1231.0,聯華食,112,2,5117228.00,,,4524202.00,,2740770.00,3274777.00,17822.00,22.82
1232.0,大統益,112,3,5063490.00,,,5801499.00,,1629555.00,1021211.00,143027.00,31.65
1232.0,大統益,112,2,4798301.00,,,6329022.00,,2400531.00,309811.00,129993.00,29.99
1232.0,大統益,112,1,5499390.00,,,6282266.00,,1630417.00,311629.00,132005.00,34.38
1232.0,大統益,112,4,5398266.00,,,6076501.00,,1639168.00,988310.00,154577.00,33.74
1233.0,天仁,112,2,1435385.00,,,742217.00,,589680.00,283240.00,3447.00,15.85
1233.0,天仁,112,4,1486069.00,,,731827.00,,586906.00,297478.00,3542.00,16.41
1233.0,天仁,112,1,1395900.00,,,661051.00,,535440.00,296432.00,3991.00,15.42
1233.0,天仁,112,3,1457856.00,,,726085.00,,568133.00,312560.00,3543.00,16.10
1234.0,黑松,112,4,18645915.00,,,8074847.00,,1729283.00,2384799.00,0.00,46.40
1234.0,黑松,112,1,17813608.00,,,7718886.00,,2230856.00,2425893.00,0.00,44.33
1234.0,黑松,112,2,18010490.00,,,8449602.00,,2701151.00,2425649.00,0.00,44.82
1234.0,黑松,112,3,18395874.00,,,8418432.00,,2293540.00,2423802.00,0.00,45.78
1235.0,興泰,112,3,1714807.00,,,865546.00,,2037757.00,431390.00,151579.00,47.06
1235.0,興泰,112,4,1721256.00,,,823261.00,,1992943.00,413567.00,193712.00,47.24
1235.0,興泰,112,2,1540027.00,,,571619.00,,1937432.00,434414.00,88313.00,47.34
1235.0,興泰,112,1,1658615.00,,,349423.00,,1552213.00,422414.00,104277.00,50.47
1236.0,宏亞,112,3,2397914.00,,,689368.00,,789519.00,520512.00,--,27.67
1236.0,宏亞,112,4,2411259.00,,,773631.00,,680521.00,737193.00,--,27.82
1236.0,宏亞,112,1,2733367.00,,,788044.00,,708591.00,448876.00,--,25.23
1236.0,宏亞,112,2,2548082.00,,,808968.00,,659432.00,553214.00,--,23.52
1240.0,茂生農經,112,3,1277087.00,,,1146032.00,,676174.00,29452.00,68959.00,32.44
1240.0,茂生農經,112,4,1353920.00,,,1250539.00,,737041.00,31551.00,60891.00,34.39
1240.0,茂生農經,112,1,1251779.00,,,1296825.00,,820013.00,32149.00,81847.00,32.43
1256.0,鮮活果汁-KY,112,1,3718732.00,,,2530651.00,,597945.00,69046.00,455743.00,109.88
1256.0,鮮活果汁-KY,112,2,3579320.00,,,2907852.00,,972829.00,73630.00,465797.00,105.76
1256.0,鮮活果汁-KY,112,3,3872727.00,,,2868997.00,,708152.00,83434.00,508096.00,114.43
1256.0,鮮活果汁-KY,112,4,3783696.00,,,2655138.00,,539938.00,85894.00,496642.00,111.80
1259.0,安心,112,4,2365364.00,,,1364747.00,,1871148.00,1570339.00,16126.00,73.03
1259.0,安心,112,3,2427579.00,,,1529760.00,,1836059.00,1608816.00,17836.00,74.95
1259.0,安心,112,1,2176041.00,,,1654365.00,,1692452.00,1608129.00,19196.00,67.18
1264.0,德麥,112,1,2652846.00,,,2710790.00,,1103238.00,71779.00,653734.00,71.60
1264.0,德麥,112,4,3151008.00,,,3049253.00,,863566.00,69969.00,714993.00,85.04
1264.0,德麥,112,3,3017184.00,,,2905170.00,,888591.00,64551.00,702052.00,81.43
1268.0,漢來美食,112,1,2019213.00,,,2140718.00,,1403782.00,2843422.00,--,47.82
1268.0,漢來美食,112,4,2153191.00,,,2352869.00,,2066258.00,2778972.00,--,50.99
1268.0,漢來美食,112,3,2065525.00,,,2339521.00,,1958611.00,2822511.00,--,48.92
1294.0,漢田生技,112,4,398089.00,,,339911.00,,224338.00,305224.00,3292.00,20.56
1295.0,生合,112,4,942969.00,,,618644.00,,199281.00,743990.00,--,30.68
1301.0,台塑,112,2,342386292.00,,,165387609.00,,111454337.00,65684966.00,0.00,53.79
1301.0,台塑,112,4,347360145.00,,,159638262.00,,103101676.00,80276535.00,0.00,54.57
1301.0,台塑,112,3,349788209.00,,,150183583.00,,88194824.00,83844752.00,0.00,54.95
1301.0,台塑,112,1,343953716.00,,,173349563.00,,120797458.00,60649842.00,0.00,54.03
1303.0,南亞,112,2,351921789.00,,,237116805.00,,171670882.00,120544157.00,16257325.00,44.37
1303.0,南亞,112,3,365223956.00,,,220538274.00,,135736792.00,140856202.00,16836252.00,46.05
1303.0,南亞,112,1,355975190.00,,,247473047.00,,176967639.00,121837502.00,15983066.00,44.89
1303.0,南亞,112,4,360144279.00,,,215138945.00,,127207774.00,144236120.00,16939780.00,45.41
1304.0,台聚,112,2,23440804.00,,,30578350.00,,11680977.00,15639876.00,25036300.00,21.86
1304.0,台聚,112,3,23921223.00,,,29970625.00,,11438981.00,14755782.00,25391834.00,22.31
1304.0,台聚,112,4,23254285.00,,,29557500.00,,11849335.00,14679570.00,24289615.00,21.69
1304.0,台聚,112,1,24428619.00,,,31342876.00,,9969068.00,16910004.00,26270938.00,22.78
1305.0,華夏,112,3,9656685.00,,,6971807.00,,3133693.00,4079301.00,640076.00,16.62
1305.0,華夏,112,4,9581477.00,,,6966745.00,,3421831.00,4100913.00,646011.00,16.49
1305.0,華夏,112,1,9678312.00,,,6976542.00,,2671173.00,4123208.00,616194.00,16.66
1305.0,華夏,112,2,9493272.00,,,7486779.00,,2976761.00,4686697.00,635557.00,16.34
1307.0,三芳,112,3,9139869.00,,,9723269.00,,3880127.00,3006732.00,--,22.97
1307.0,三芳,112,1,8292593.00,,,9256544.00,,4304482.00,2867556.00,--,20.85
1307.0,三芳,112,4,8942999.00,,,9267099.00,,3795592.00,2892380.00,--,22.48
1307.0,三芳,112,2,8576747.00,,,9347579.00,,3780161.00,3146773.00,--,21.56
1308.0,亞聚,112,2,13608240.00,,,3643875.00,,1508603.00,712591.00,--,22.92
1308.0,亞聚,112,1,14672210.00,,,3791925.00,,1330278.00,688188.00,--,24.71
1308.0,亞聚,112,4,13339084.00,,,3335197.00,,1028661.00,643944.00,--,22.47
1308.0,亞聚,112,3,13669961.00,,,3269604.00,,885576.00,715191.00,--,23.02
1309.0,台達化,112,3,6865686.00,,,5600516.00,,1765092.00,367970.00,--,17.27
1309.0,台達化,112,2,6858015.00,,,5498015.00,,1403975.00,620379.00,--,17.25
1309.0,台達化,112,4,6647991.00,,,5515323.00,,1920663.00,322699.00,--,16.72
1309.0,台達化,112,1,7214740.00,,,5933233.00,,1566248.00,470665.00,--,18.15
1310.0,台苯,112,3,6357102.00,,,2708017.00,,2148072.00,294130.00,258476.00,12.04
1310.0,台苯,112,1,6559232.00,,,2723942.00,,1866005.00,297391.00,251394.00,12.43
1310.0,台苯,112,2,6223170.00,,,2341258.00,,1897303.00,297011.00,248418.00,11.79
1310.0,台苯,112,4,6927485.00,,,2686434.00,,2295884.00,284247.00,255588.00,13.12
1312.0,國喬,112,3,31585537.00,,,15642819.00,,8711012.00,18178143.00,3293708.00,34.15
1312.0,國喬,112,4,33241272.00,,,16107111.00,,8612164.00,16840642.00,3274329.00,29.55
1312.0,國喬,112,1,32598511.00,,,16639364.00,,6084988.00,19060272.00,3344435.00,35.25
1312.0,國喬,112,2,30965551.00,,,15587941.00,,5537130.00,19696980.00,3317320.00,33.48
1313.0,聯成,112,1,26631680.00,,,21314011.00,,15408368.00,10539495.00,--,20.21
1313.0,聯成,112,4,30049531.00,,,20812329.00,,8263676.00,17343462.00,--,22.66
1313.0,聯成,112,3,30047664.00,,,22472019.00,,16211304.00,10577550.00,--,22.68
1313.0,聯成,112,2,27959886.00,,,19818032.00,,13985638.00,11148112.00,--,21.21
1314.0,中石化,112,3,77642925.00,,,68817054.00,,28530034.00,38732284.00,113629.00,20.51
1314.0,中石化,112,2,77927870.00,,,67269331.00,,28425674.00,36708846.00,117980.00,20.59
1314.0,中石化,112,1,78404929.00,,,64391037.00,,24880617.00,37557027.00,124120.00,20.72
1314.0,中石化,112,4,78658590.00,,,66592804.00,,30232071.00,36707262.00,107552.00,20.78
1315.0,達新,112,4,10594400.00,,,7519816.00,,460232.00,259457.00,28730.00,110.90
1315.0,達新,112,2,10931916.00,,,8075577.00,,507883.00,214726.00,29112.00,114.44
1315.0,達新,112,3,10513241.00,,,7548091.00,,513950.00,222427.00,30250.00,110.06
1315.0,達新,112,1,10761554.00,,,8380320.00,,974354.00,209611.00,29369.00,112.65
1316.0,上曜,112,1,2394517.00,,,8676555.00,,5280102.00,820724.00,2760487.00,12.04
1316.0,上曜,112,2,2370537.00,,,9072934.00,,6043111.00,519654.00,2759705.00,11.92
1316.0,上曜,112,4,2902781.00,,,10104293.00,,6592597.00,191509.00,2890478.00,11.64
1316.0,上曜,112,3,2919219.00,,,9916243.00,,6186273.00,475124.00,2819580.00,11.77
1319.0,東陽,112,1,24368413.00,,,10755143.00,,6862236.00,2261514.00,449231.00,41.20
1319.0,東陽,112,4,25451396.00,,,12106479.00,,7052376.00,2081709.00,460701.00,43.03
1319.0,東陽,112,3,24876596.00,,,11402363.00,,6867959.00,2059886.00,457311.00,42.06
1319.0,東陽,112,2,23628424.00,,,11405162.00,,7935830.00,2157149.00,435283.00,39.95
1321.0,大洋,112,4,6194066.00,,,2125345.00,,1110153.00,4627476.00,--,28.07
1321.0,大洋,112,3,5762509.00,,,2423857.00,,1091922.00,5396892.00,--,26.11
1321.0,大洋,112,2,5711535.00,,,2101477.00,,1001130.00,5247309.00,--,25.88
1321.0,大洋,112,1,5715162.00,,,2223786.00,,1201043.00,5235954.00,0.00,25.90
1323.0,永裕,112,4,2395849.00,,,2610157.00,,559080.00,1970961.00,508630.00,26.60
1323.0,永裕,112,3,2445656.00,,,2662361.00,,638997.00,1978433.00,478692.00,27.15
1323.0,永裕,112,1,2366771.00,,,2699524.00,,749922.00,2025796.00,490404.00,26.28
1323.0,永裕,112,2,2347778.00,,,2700054.00,,842970.00,1909730.00,453775.00,26.06
1324.0,地球,112,2,947979.00,,,818659.00,,215667.00,12167.00,0.00,12.62
1324.0,地球,112,4,971097.00,,,816696.00,,218073.00,22479.00,0.00,12.93
1324.0,地球,112,1,946416.00,,,817112.00,,228700.00,12563.00,0.00,12.60
1324.0,地球,112,3,972551.00,,,840342.00,,214743.00,12580.00,0.00,12.95
1325.0,恆大,112,4,2767560.00,,,1748762.00,,56995.00,55159.00,92251.00,32.45
1325.0,恆大,112,3,2791823.00,,,1791611.00,,53407.00,62870.00,97467.00,32.74
1325.0,恆大,112,2,2749335.00,,,1767428.00,,84693.00,56157.00,94511.00,32.24
1325.0,恆大,112,1,2782008.00,,,1744226.00,,56739.00,56723.00,98092.00,32.62
1326.0,台化,112,3,334821458.00,,,216981380.00,,106427878.00,78672806.00,44857316.00,57.24
1326.0,台化,112,2,328746389.00,,,224613085.00,,120526100.00,64896260.00,45781921.00,56.21
1326.0,台化,112,1,333266562.00,,,241676498.00,,132563342.00,65198756.00,46489147.00,56.98
1326.0,台化,112,4,339258524.00,,,214905674.00,,101225762.00,80955890.00,44430192.00,58.00
1336.0,台翰,112,1,1708459.00,,,1388578.00,,583049.00,408668.00,--,21.68
1336.0,台翰,112,4,1769496.00,,,1230707.00,,524779.00,340470.00,--,22.45
1336.0,台翰,112,3,1825305.00,,,1265333.00,,533540.00,342372.00,--,23.16
1337.0,再生-KY,112,1,4830013.00,,,2691381.00,,96484.00,63043.00,--,17.96
1337.0,再生-KY,112,2,4576468.00,,,2502538.00,,101219.00,60923.00,--,17.02
1337.0,再生-KY,112,4,4399058.00,,,1443936.00,,120372.00,61563.00,--,16.36
1337.0,再生-KY,112,3,4597377.00,,,2315184.00,,106678.00,62815.00,--,17.09
1338.0,廣華-KY,112,2,6081538.00,,,5562786.00,,3271802.00,1058585.00,326696.00,72.54
1338.0,廣華-KY,112,4,6103805.00,,,6018115.00,,3366639.00,1478716.00,327084.00,72.80
1338.0,廣華-KY,112,3,6249276.00,,,5648345.00,,3466289.00,1041965.00,328514.00,74.54
1338.0,廣華-KY,112,1,6476015.00,,,5771589.00,,3271287.00,1106269.00,311318.00,77.24
1339.0,昭輝,112,4,3945875.00,,,1749753.00,,849847.00,526892.00,96086.00,53.23
1339.0,昭輝,112,2,3660786.00,,,2044129.00,,1071423.00,615074.00,97028.00,49.39
1339.0,昭輝,112,3,3825807.00,,,1808827.00,,851435.00,570786.00,98326.00,51.61
1339.0,昭輝,112,1,3564394.00,,,1965154.00,,1164994.00,581392.00,104092.00,48.09
1340.0,勝悅-KY,112,1,4559911.00,,,2064670.00,,149506.00,0.00,0.00,29.82
1340.0,勝悅-KY,112,3,4334440.00,,,1597266.00,,127693.00,120844.00,0.00,28.34
1340.0,勝悅-KY,112,2,4313320.00,,,1703766.00,,128689.00,25749.00,0.00,28.21
1340.0,勝悅-KY,112,4,3723641.00,,,1340211.00,,177168.00,197089.00,0.00,24.35
1341.0,富林-KY,112,3,1303706.00,,,1407254.00,,763338.00,44704.00,--,25.23
1341.0,富林-KY,112,2,1240601.00,,,1604728.00,,1038238.00,44781.00,--,24.11
1341.0,富林-KY,112,1,1141657.00,,,1636119.00,,1165645.00,41439.00,--,22.32
1341.0,富林-KY,112,4,1303458.00,,,1435100.00,,757644.00,40295.00,--,25.22
1342.0,八貫,112,1,--,,,2096497.00,,1046159.00,403647.00,--,24.91
1342.0,八貫,112,3,--,,,1957483.00,,596999.00,426606.00,--,29.62
1342.0,八貫,112,4,--,,,1987854.00,,570767.00,436800.00,--,31.45
1342.0,八貫,112,2,--,,,1810698.00,,558445.00,446400.00,--,27.48
1402.0,遠東新,112,3,217596290.00,,,132986764.00,,151225189.00,204306150.00,63283036.00,40.66
1402.0,遠東新,112,2,212266970.00,,,126303121.00,,147626294.00,206825292.00,61003077.00,39.66
1402.0,遠東新,112,4,225187613.00,,,140943767.00,,118459528.00,243316017.00,84454454.00,42.07
1402.0,遠東新,112,1,211211419.00,,,169213264.00,,151355645.00,239518483.00,64268110.00,39.46
1409.0,新纖,112,2,35338434.00,,,123676920.00,,121119018.00,22706417.00,10272543.00,21.90
1409.0,新纖,112,4,36351083.00,,,125941330.00,,123432958.00,24765491.00,10493996.00,22.53
1409.0,新纖,112,3,35838080.00,,,121431657.00,,119265945.00,22540521.00,10396845.00,22.21
1409.0,新纖,112,1,34350483.00,,,118816151.00,,117685491.00,20504512.00,10633399.00,21.29
1410.0,南染,112,4,1071509.00,,,616418.00,,41655.00,177173.00,42263.00,17.01
1410.0,南染,112,2,1067333.00,,,646231.00,,91364.00,171424.00,45807.00,16.94
1410.0,南染,112,1,1061303.00,,,636655.00,,86346.00,170973.00,46051.00,16.85
1410.0,南染,112,3,1075323.00,,,605084.00,,41834.00,171191.00,43027.00,17.07
1413.0,宏洲,112,3,--,,,686391.00,,601531.00,822088.00,--,8.47
1413.0,宏洲,112,4,--,,,503620.00,,446348.00,802696.00,--,8.29
1413.0,宏洲,112,2,--,,,626842.00,,501577.00,840720.00,--,8.77
1413.0,宏洲,112,1,--,,,742443.00,,581770.00,859352.00,--,9.03
1414.0,東和,112,1,--,,,1206794.00,,825018.00,685862.00,--,13.94
1414.0,東和,112,4,--,,,1142282.00,,675905.00,681976.00,--,14.24
1414.0,東和,112,3,--,,,1235355.00,,820070.00,686428.00,--,14.04
1414.0,東和,112,2,--,,,1221522.00,,815830.00,686202.00,--,14.03
1416.0,廣豐,112,2,3662422.00,,,1048267.00,,187504.00,712342.00,64900.00,19.76
1416.0,廣豐,112,1,3588907.00,,,1063070.00,,107122.00,721288.00,67137.00,19.36
1416.0,廣豐,112,4,3494354.00,,,1069836.00,,307558.00,722530.00,69000.00,18.85
1416.0,廣豐,112,3,3565183.00,,,883620.00,,113543.00,736666.00,67378.00,19.24
1417.0,嘉裕,112,4,2588977.00,,,2281228.00,,632333.00,360918.00,--,13.63
1417.0,嘉裕,112,1,2759896.00,,,2861790.00,,1235715.00,374410.00,--,14.53
1417.0,嘉裕,112,3,2662548.00,,,2475701.00,,879427.00,363791.00,--,14.02
1417.0,嘉裕,112,2,2648393.00,,,2728466.00,,1193578.00,359144.00,--,13.94
1418.0,東華,112,2,1176449.00,,,823182.00,,2619395.00,487651.00,-7.00,21.67
1418.0,東華,112,1,1206521.00,,,886484.00,,15671.00,3090111.00,-6.00,22.22
1418.0,東華,112,3,1154694.00,,,767677.00,,2619436.00,487156.00,11.00,21.26
1418.0,東華,112,4,1271541.00,,,837990.00,,2719656.00,486882.00,10.00,23.41
1419.0,新紡,112,3,12444174.00,,,4572894.00,,3727944.00,1315801.00,--,41.59
1419.0,新紡,112,4,13147061.00,,,4678182.00,,3882051.00,1515065.00,--,43.94
1419.0,新紡,112,2,11855194.00,,,5225323.00,,4087649.00,1218378.00,--,39.62
1419.0,新紡,112,1,11962216.00,,,5033133.00,,3597063.00,1161934.00,--,39.98
1423.0,利華,112,4,--,,,918635.00,,53873.00,228846.00,--,28.72
1423.0,利華,112,2,--,,,1358720.00,,87194.00,232263.00,--,22.13
1423.0,利華,112,1,--,,,1375183.00,,55645.00,231288.00,--,22.06
1423.0,利華,112,3,--,,,1362407.00,,448860.00,233402.00,--,27.64
1432.0,大魯閣,112,3,794857.00,,,1061174.00,,1481980.00,2722894.00,11216.00,8.83
1432.0,大魯閣,112,4,778814.00,,,990589.00,,1445933.00,2636491.00,10343.00,8.65
1432.0,大魯閣,112,2,786998.00,,,895201.00,,1319120.00,2799475.00,12443.00,8.74
1432.0,大魯閣,112,1,743707.00,,,828671.00,,1242855.00,2889641.00,14031.00,8.43
1434.0,福懋,112,4,54351972.00,,,16479420.00,,5675993.00,11636817.00,--,32.30
1434.0,福懋,112,1,55329855.00,,,19043134.00,,9927043.00,11006689.00,--,32.89
1434.0,福懋,112,3,54573010.00,,,17213573.00,,5945939.00,12346048.00,--,32.44
1434.0,福懋,112,2,55447953.00,,,18817242.00,,8998141.00,11086130.00,--,32.96
1435.0,中福,112,4,--,,,470283.00,,4230.00,179700.00,--,9.63
1435.0,中福,112,1,--,,,539788.00,,18031.00,179823.00,--,7.25
1435.0,中福,112,3,--,,,462942.00,,9562.00,178936.00,--,7.02
1435.0,中福,112,2,--,,,515745.00,,10893.00,178938.00,--,7.11
1436.0,華友聯,112,1,2749953.00,,,10719857.00,,8583316.00,1669612.00,47782.00,28.29
1436.0,華友聯,112,2,2739206.00,,,11493438.00,,9120860.00,1928363.00,46814.00,28.16
1436.0,華友聯,112,3,2788463.00,,,12093075.00,,7524519.00,4006415.00,116436.00,28.46
1436.0,華友聯,112,4,3819196.00,,,12963826.00,,8386072.00,2745646.00,116642.00,38.30
1437.0,勤益控,112,1,7158493.00,,,2159930.00,,1163411.00,4436664.00,956.00,35.20
1437.0,勤益控,112,2,7345300.00,,,2199068.00,,1105010.00,4430067.00,834.00,36.12
1437.0,勤益控,112,3,7474486.00,,,2259944.00,,3825889.00,1608062.00,950.00,36.75
1437.0,勤益控,112,4,7637310.00,,,2063192.00,,3724341.00,1541111.00,1107.00,37.55
1438.0,三地開發,112,4,--,,,6821726.00,,4535622.00,4474994.00,--,20.37
1438.0,三地開發,112,1,--,,,4246085.00,,2022653.00,4205301.00,--,22.31
1438.0,三地開發,112,3,--,,,5386720.00,,3337692.00,4212801.00,--,20.67
1438.0,三地開發,112,2,--,,,4608314.00,,2521552.00,4214259.00,--,20.92
1439.0,雋揚,112,1,2338881.00,,,2835867.00,,1607386.00,519693.00,549173.00,25.42
1439.0,雋揚,112,4,2561779.00,,,3000943.00,,1685998.00,506168.00,552999.00,27.85
1439.0,雋揚,112,3,2411528.00,,,3067697.00,,1738609.00,511636.00,556229.00,26.21
1439.0,雋揚,112,2,2407247.00,,,2972705.00,,1725744.00,515141.00,553192.00,26.17
