出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/28","110","4","1240","茂生農經","47778.00","-35413.00","-40312.00","--","-27947.00","104753.00","76806.00"
"114/10/28","110","4","1259","安心","749596.00","-633373.00","-570133.00","-375.00","-454285.00","1501036.00","1046751.00"
"114/10/28","110","4","1264","德麥","684061.00","-89826.00","-606939.00","-12930.00","-25634.00","884295.00","858661.00"
"114/10/28","110","4","1268","漢來美食","423533.00","52766.00","19643.00","-2543.00","493399.00","682441.00","1175840.00"
"114/10/28","110","4","1294","漢田生技","44387.00","-79760.00","40404.00","-399.00","4632.00","81780.00","86412.00"
"114/10/28","110","4","1336","台翰","89254.00","-26444.00","-147830.00","-746.00","-85766.00","623074.00","537308.00"
"114/10/28","110","4","1565","精華","1239817.00","-98094.00","-627430.00","-3521.00","510772.00","1843920.00","2354692.00"
"114/10/28","110","4","1569","濱川","1041318.00","-449112.00","-431098.00","-57306.00","103802.00","526240.00","630042.00"
"114/10/28","110","4","1570","力肯","29437.00","40933.00","-44856.00","472.00","25986.00","113977.00","139963.00"
"114/10/28","110","4","1580","新麥","374658.00","-254801.00","-249764.00","-9060.00","-138967.00","773628.00","634661.00"
"114/10/28","110","4","1584","精剛","-730810.00","252788.00","402051.00","0.00","-75971.00","211578.00","135607.00"
"114/10/28","110","4","1586","和勤","244523.00","-272362.00","77915.00","8395.00","58471.00","468484.00","526955.00"
"114/10/28","110","4","1591","駿吉-KY","107794.00","-8666.00","-101598.00","-13443.00","-15913.00","56239.00","40326.00"
"114/10/28","110","4","1593","祺驊","119336.00","-405585.00","145844.00","-1811.00","-142216.00","343682.00","201466.00"
"114/10/28","110","4","1595","川寶","349757.00","-29353.00","-237469.00","-5083.00","77852.00","941980.00","1019832.00"
"114/10/28","110","4","1599","宏佳騰","670820.00","-172440.00","-209426.00","-2888.00","286066.00","799435.00","1085501.00"
"114/10/28","110","4","1742","台蠟","-522626.00","-108602.00","390608.00","-2050.00","-242670.00","336514.00","93844.00"
"114/10/28","110","4","1777","生泰","120426.00","-354913.00","845197.00","--","610710.00","619149.00","1229859.00"
"114/10/28","110","4","1781","合世","-143762.00","-16022.00","-78492.00","5033.00","-233243.00","433257.00","200014.00"
"114/10/28","110","4","1784","訊聯","13878.00","-4587.00","-15595.00","-258.00","-6562.00","128359.00","121797.00"
"114/10/28","110","4","1785","光洋科","543319.00","-1231735.00","1695388.00","-19675.00","987297.00","2161229.00","3148526.00"
"114/10/28","110","4","1788","杏昌","287794.00","-158038.00","-196901.00","-627.00","-67772.00","412782.00","345010.00"
"114/10/28","110","4","1796","金穎生技","112233.00","-145255.00","224805.00","-191.00","191592.00","348019.00","539611.00"
"114/10/28","110","4","1799","易威","-128305.00","-182541.00","320310.00","-1325.00","8139.00","144889.00","153028.00"
"114/10/28","110","4","1813","寶利徠","78684.00","-19495.00","29273.00","-338.00","88124.00","189519.00","277643.00"
"114/10/28","110","4","1815","富喬","1172499.00","-276153.00","-669560.00","-58514.00","168272.00","943796.00","1112068.00"
"114/10/28","110","4","2035","唐榮公司","430640.00","-89562.00","578615.00","--","919693.00","133931.00","1053624.00"
"114/10/28","110","4","2061","風青","-72889.00","967.00","-85249.00","-2274.00","-159445.00","263165.00","103720.00"
"114/10/28","110","4","2063","世鎧","-45965.00","-38868.00","84422.00","-494.00","-905.00","329705.00","328800.00"
"114/10/28","110","4","2064","晉椿","-316842.00","-71421.00","372433.00","1166.00","-14664.00","249198.00","234534.00"
"114/10/28","110","4","2065","世豐","161138.00","-75526.00","-45868.00","-4043.00","35701.00","481030.00","516731.00"
"114/10/28","110","4","2066","世德","-183937.00","-65505.00","411393.00","-26214.00","135737.00","216250.00","351987.00"
"114/10/28","110","4","2067","嘉鋼","51211.00","-267548.00","221901.00","-42.00","5522.00","116366.00","121888.00"
"114/10/28","110","4","2070","精湛","196330.00","50663.00","-198993.00","-1531.00","46469.00","278361.00","324830.00"
"114/10/28","110","4","2073","雄順","160212.00","-126235.00","-13613.00","--","20364.00","30672.00","51036.00"
"114/10/28","110","4","2221","大甲","213755.00","-28230.00","-48204.00","-56.00","137265.00","186164.00","323429.00"
"114/10/28","110","4","2230","泰茂","2153.00","46301.00","-25034.00","-3368.00","20052.00","157382.00","177434.00"
"114/10/28","110","4","2235","謚源","197402.00","-331886.00","384503.00","--","250019.00","74443.00","324462.00"
"114/10/28","110","4","2596","綠意","1111276.00","-125264.00","-475470.00","--","510542.00","447003.00","957545.00"
"114/10/28","110","4","2640","大車隊","458021.00","-231185.00","-36043.00","--","190793.00","492381.00","683174.00"
"114/10/28","110","4","2641","正德","677787.00","-1099433.00","783300.00","23885.00","385539.00","108926.00","494465.00"
"114/10/28","110","4","2643","捷迅","137357.00","-6629.00","-178991.00","-13668.00","-61931.00","617724.00","555793.00"
"114/10/28","110","4","2718","全心投控","-342687.00","350.00","482838.00","--","140501.00","234264.00","374765.00"
"114/10/28","110","4","2719","燦星旅","-35193.00","1410.00","56246.00","--","22463.00","29389.00","51852.00"
"114/10/28","110","4","2724","藝舍-KY","11999.00","9989.00","224860.00","-515.00","246333.00","28117.00","274450.00"
"114/10/28","110","4","2726","雅茗-KY","154873.00","159561.00","-365411.00","-13386.00","-64363.00","400358.00","335995.00"
"114/10/28","110","4","2729","瓦城","731790.00","-71180.00","-573268.00","-446.00","86896.00","1041461.00","1128357.00"
"114/10/28","110","4","2732","六角","206039.00","93990.00","-462123.00","-11207.00","-173301.00","1058656.00","885355.00"
"114/10/28","110","4","2734","易飛網","-54942.00","1560.00","160080.00","-109.00","106589.00","85731.00","192320.00"
"114/10/28","110","4","2736","富野","108187.00","-5702.00","-98125.00","-39.00","4321.00","343490.00","347811.00"
"114/10/28","110","4","2740","天蔥","-19382.00","-2642.00","-16558.00","-58.00","-38640.00","45439.00","6799.00"
"114/10/28","110","4","2743","山富","-72860.00","-7433.00","47862.00","--","-32431.00","364019.00","331588.00"
"114/10/28","110","4","2745","五福","-105473.00","1234.00","-12835.00","--","-117074.00","272220.00","155146.00"
"114/10/28","110","4","2751","王座","37083.00","-16673.00","-74216.00","-123.00","-53929.00","131167.00","77238.00"
"114/10/28","110","4","2752","豆府","402673.00","-261145.00","-198326.00","55.00","-56743.00","797913.00","741170.00"
"114/10/28","110","4","2754","亞洲藏壽司","368748.00","-594672.00","3950.00","1.00","-221973.00","634573.00","412600.00"
"114/10/28","110","4","2755","揚秦","204506.00","-3544.00","-81046.00","-355.00","119561.00","343111.00","462672.00"
"114/10/28","110","4","2756","聯發國際","187612.00","-84770.00","-159338.00","-2958.00","-59454.00","238881.00","179427.00"
"114/10/28","110","4","2916","滿心","91909.00","-21926.00","-53379.00","--","16604.00","45838.00","62442.00"
"114/10/28","110","4","2924","宏太-KY","-36206.00","158330.00","-166868.00","-1172.00","-45916.00","97754.00","51838.00"
"114/10/28","110","4","2926","誠品生活","1495458.00","-285540.00","-1076923.00","-15680.00","117315.00","1143418.00","1260733.00"
"114/10/28","110","4","2937","集雅社","38110.00","5366.00","21610.00","--","65086.00","221163.00","286249.00"
"114/10/28","110","4","2941","米斯特","39051.00","-905.00","20097.00","--","58243.00","50494.00","108737.00"
"114/10/28","110","4","2947","振宇五金","257125.00","-110242.00","161548.00","--","308431.00","168699.00","477130.00"
